table_schema,table_name,column_name,data_type,is_nullable,column_default
public,users,id,text,YES,null
public,users,reservation_date,text,YES,null
public,users,email,text,YES,null
public,users,name,text,YES,null
public,users,english_name,text,YES,null
public,users,nickname,text,YES,null
public,users,phone_number,text,YES,null
public,users,created_at,text,YES,null
public,users,kakao_id,text,YES,null
public,users,role,text,YES,null
public,users,birth_date,text,YES,null
public,users,passport_number,text,YES,null
public,users,passport_expiry,text,YES,null
public,users,status,text,YES,null
public,users,updated_at,text,YES,null
public,users,order_id,text,YES,null
public,users,child_birth_dates,text,YES,null
public,quote,id,text,YES,null
public,quote,user_id,text,YES,null
public,quote,status,text,YES,null
public,quote,title,text,YES,null
public,quote,description,text,YES,null
public,quote,total_price,text,YES,null
public,quote,created_at,text,YES,null
public,quote,updated_at,text,YES,null
public,quote,submitted_at,text,YES,null
public,quote,approved_at,text,YES,null
public,quote,manager_note,text,YES,null
public,quote,payment_status,text,YES,null
public,quote,confirmed_at,text,YES,null
public,quote_item,id,text,YES,null
public,quote_item,quote_id,text,YES,null
public,quote_item,service_type,text,YES,null
public,quote_item,service_ref_id,text,YES,null
public,quote_item,quantity,text,YES,null
public,quote_item,unit_price,text,YES,null
public,quote_item,total_price,text,YES,null
public,quote_item,options,text,YES,null
public,quote_item,created_at,text,YES,null
public,quote_item,updated_at,text,YES,null
public,quote_item,usage_date,text,YES,null
public,reservation,re_id,text,YES,null
public,reservation,re_user_id,text,YES,null
public,reservation,re_quote_id,text,YES,null
public,reservation,re_type,text,YES,null
public,reservation,re_status,text,YES,null
public,reservation,re_created_at,text,YES,null
public,reservation,re_update_at,text,YES,null
public,reservation,total_amount,text,YES,null
public,reservation,paid_amount,text,YES,null
public,reservation,payment_status,text,YES,null
public,reservation,order_id,text,YES,null
public,reservation,manager_note,text,YES,null
public,reservation,package_id,text,YES,null
public,reservation,pax_count,text,YES,null
public,reservation,re_adult_count,text,YES,null
public,reservation,re_child_count,text,YES,null
public,reservation,re_infant_count,text,YES,null
public,reservation,reservation_date,text,YES,null
public,reservation,price_breakdown,text,YES,null
public,reservation,manual_additional_fee,text,YES,null
public,reservation,manual_additional_fee_detail,text,YES,null
public,reservation_cruise,reservation_id,text,YES,null
public,reservation_cruise,room_price_code,text,YES,null
public,reservation_cruise,checkin,text,YES,null
public,reservation_cruise,guest_count,text,YES,null
public,reservation_cruise,unit_price,text,YES,null
public,reservation_cruise,room_total_price,text,YES,null
public,reservation_cruise,request_note,text,YES,null
public,reservation_cruise,id,text,YES,null
public,reservation_cruise,created_at,text,YES,null
public,reservation_cruise,boarding_code,text,YES,null
public,reservation_cruise,boarding_assist,text,YES,null
public,reservation_cruise,updated_at,text,YES,null
public,reservation_cruise,room_count,text,YES,null
public,reservation_cruise,adult_count,text,YES,null
public,reservation_cruise,child_count,text,YES,null
public,reservation_cruise,infant_count,text,YES,null
public,reservation_cruise,accommodation_info,text,YES,null
public,reservation_cruise,child_extra_bed_count,text,YES,null
public,reservation_cruise,extra_bed_count,text,YES,null
public,reservation_cruise,single_count,text,YES,null
public,reservation_cruise,connecting_room,text,YES,null
public,reservation_cruise,birthday_event,text,YES,null
public,reservation_cruise,birthday_name,text,YES,null
public,reservation_airport,id,text,YES,null
public,reservation_airport,reservation_id,text,YES,null
public,reservation_airport,airport_price_code,text,YES,null
public,reservation_airport,ra_airport_location,text,YES,null
public,reservation_airport,ra_flight_number,text,YES,null
public,reservation_airport,ra_datetime,text,YES,null
public,reservation_airport,ra_stopover_location,text,YES,null
public,reservation_airport,ra_stopover_wait_minutes,text,YES,null
public,reservation_airport,ra_car_count,text,YES,null
public,reservation_airport,ra_passenger_count,text,YES,null
public,reservation_airport,ra_luggage_count,text,YES,null
public,reservation_airport,request_note,text,YES,null
public,reservation_airport,ra_is_processed,text,YES,null
public,reservation_airport,unit_price,text,YES,null
public,reservation_airport,total_price,text,YES,null
public,reservation_airport,created_at,text,YES,null
public,reservation_airport,dispatch_code,text,YES,null
public,reservation_airport,pickup_confirmed_at,text,YES,null
public,reservation_airport,dispatch_memo,text,YES,null
public,reservation_airport,way_type,text,YES,null
public,reservation_airport,accommodation_info,text,YES,null
public,reservation_airport,vehicle_type,text,YES,null
public,reservation_hotel,reservation_id,text,YES,null
public,reservation_hotel,schedule,text,YES,null
public,reservation_hotel,room_count,text,YES,null
public,reservation_hotel,checkin_date,text,YES,null
public,reservation_hotel,breakfast_service,text,YES,null
public,reservation_hotel,hotel_category,text,YES,null
public,reservation_hotel,guest_count,text,YES,null
public,reservation_hotel,total_price,text,YES,null
public,reservation_hotel,hotel_price_code,text,YES,null
public,reservation_hotel,request_note,text,YES,null
public,reservation_hotel,id,text,YES,null
public,reservation_hotel,created_at,text,YES,null
public,reservation_hotel,unit_price,text,YES,null
public,reservation_hotel,assignment_code,text,YES,null
public,reservation_hotel,updated_at,text,YES,null
public,reservation_hotel,adult_count,text,YES,null
public,reservation_hotel,child_count,text,YES,null
public,reservation_hotel,infant_count,text,YES,null
public,reservation_hotel,accommodation_info,text,YES,null
public,reservation_rentcar,reservation_id,text,YES,null
public,reservation_rentcar,rentcar_price_code,text,YES,null
public,reservation_rentcar,rentcar_count,text,YES,null
public,reservation_rentcar,unit_price,text,YES,null
public,reservation_rentcar,car_count,text,YES,null
public,reservation_rentcar,passenger_count,text,YES,null
public,reservation_rentcar,pickup_datetime,text,YES,null
public,reservation_rentcar,pickup_location,text,YES,null
public,reservation_rentcar,destination,text,YES,null
public,reservation_rentcar,via_location,text,YES,null
public,reservation_rentcar,via_waiting,text,YES,null
public,reservation_rentcar,luggage_count,text,YES,null
public,reservation_rentcar,total_price,text,YES,null
public,reservation_rentcar,request_note,text,YES,null
public,reservation_rentcar,id,text,YES,null
public,reservation_rentcar,created_at,text,YES,null
public,reservation_rentcar,dispatch_code,text,YES,null
public,reservation_rentcar,pickup_confirmed_at,text,YES,null
public,reservation_rentcar,dispatch_memo,text,YES,null
public,reservation_rentcar,way_type,text,YES,null
public,reservation_rentcar,return_datetime,text,YES,null
public,reservation_rentcar,return_pickup_location,text,YES,null
public,reservation_rentcar,return_destination,text,YES,null
public,reservation_rentcar,return_via_location,text,YES,null
public,reservation_rentcar,return_via_waiting,text,YES,null
public,reservation_tour,reservation_id,text,YES,null
public,reservation_tour,tour_price_code,text,YES,null
public,reservation_tour,tour_capacity,text,YES,null
public,reservation_tour,pickup_location,text,YES,null
public,reservation_tour,dropoff_location,text,YES,null
public,reservation_tour,total_price,text,YES,null
public,reservation_tour,request_note,text,YES,null
public,reservation_tour,id,text,YES,null
public,reservation_tour,created_at,text,YES,null
public,reservation_tour,usage_date,text,YES,null
public,reservation_tour,unit_price,text,YES,null
public,reservation_tour,adult_count,text,YES,null
public,reservation_tour,child_count,text,YES,null
public,reservation_tour,infant_count,text,YES,null
public,reservation_tour,dispatch_code,text,YES,null
public,reservation_car_sht,reservation_id,text,YES,null
public,reservation_car_sht,vehicle_number,text,YES,null
public,reservation_car_sht,seat_number,text,YES,null
public,reservation_car_sht,sht_category,text,YES,null
public,reservation_car_sht,id,text,YES,null
public,reservation_car_sht,created_at,text,YES,null
public,reservation_car_sht,dispatch_code,text,YES,null
public,reservation_car_sht,pickup_confirmed_at,text,YES,null
public,reservation_car_sht,dispatch_memo,text,YES,null
public,reservation_car_sht,car_price_code,text,YES,null
public,reservation_car_sht,car_count,text,YES,null
public,reservation_car_sht,passenger_count,text,YES,null
public,reservation_car_sht,pickup_datetime,text,YES,null
public,reservation_car_sht,pickup_location,text,YES,null
public,reservation_car_sht,dropoff_location,text,YES,null
public,reservation_car_sht,car_total_price,text,YES,null
public,reservation_car_sht,request_note,text,YES,null
public,reservation_car_sht,updated_at,text,YES,null
public,reservation_car_sht,unit_price,text,YES,null
public,reservation_car_sht,usage_date,text,YES,null
public,airport,id,text,YES,null
public,airport,airport_code,text,YES,null
public,airport,passenger_count,text,YES,null
public,airport,special_requests,text,YES,null
public,airport,base_price,text,YES,null
public,airport,created_at,text,YES,null
public,airport,updated_at,text,YES,null
public,hotel,id,text,YES,null
public,hotel,hotel_code,text,YES,null
public,hotel,special_requests,text,YES,null
public,hotel,base_price,text,YES,null
public,hotel,created_at,text,YES,null
public,hotel,updated_at,text,YES,null
public,hotel,checkin_date,text,YES,null
public,hotel,checkout_date,text,YES,null
public,rentcar,id,text,YES,null
public,rentcar,rentcar_code,text,YES,null
public,rentcar,special_requests,text,YES,null
public,rentcar,base_price,text,YES,null
public,rentcar,created_at,text,YES,null
public,rentcar,updated_at,text,YES,null
public,room,id,text,YES,null
public,room,base_price,text,YES,null
public,room,created_at,text,YES,null
public,room,updated_at,text,YES,null
public,room,room_code,text,YES,null
public,room,special_requests,text,YES,null
public,room,person_count,text,YES,null
public,room,extra_count,text,YES,null
public,room,single_charge_count,text,YES,null
public,room,boarding_code,text,YES,null
public,room,sale,text,YES,null
public,room,adult_count,text,YES,null
public,room,child_count,text,YES,null
public,room,child_extra_bed_count,text,YES,null
public,room,infant_count,text,YES,null
public,room,extra_bed_count,text,YES,null
public,room,single_count,text,YES,null
public,car,id,text,YES,null
public,car,base_price,text,YES,null
public,car,created_at,text,YES,null
public,car,updated_at,text,YES,null
public,car,car_code,text,YES,null
public,car,special_requests,text,YES,null
public,car,car_count,text,YES,null
public,tour,tour_id,text,YES,null
public,tour,tour_code,text,YES,null
public,tour,tour_name,text,YES,null
public,tour,category,text,YES,null
public,tour,description,text,YES,null
public,tour,overview,text,YES,null
public,tour,duration,text,YES,null
public,tour,guide_language,text,YES,null
public,tour,group_type,text,YES,null
public,tour,location,text,YES,null
public,tour,starting_point,text,YES,null
public,tour,meeting_time,text,YES,null
public,tour,image_url,text,YES,null
public,tour,thumbnail_url,text,YES,null
public,tour,rating,text,YES,null
public,tour,review_count,text,YES,null
public,tour,is_active,text,YES,null
public,tour,status,text,YES,null
public,tour,min_age_free_applicable,text,YES,null
public,tour,special_age_policy_description,text,YES,null
public,tour,contact_info,text,YES,null
public,tour,payment_notes,text,YES,null
public,tour,cancellation_policy_url,text,YES,null
public,tour,created_at,text,YES,null
public,tour,updated_at,text,YES,null
public,tour,program_type,text,YES,null
public,tour,is_cruise_addon,text,YES,null
public,cruise_rate_card,id,text,YES,null
public,cruise_rate_card,cruise_name,text,YES,null
public,cruise_rate_card,schedule_type,text,YES,null
public,cruise_rate_card,room_type,text,YES,null
public,cruise_rate_card,room_type_en,text,YES,null
public,cruise_rate_card,price_adult,text,YES,null
public,cruise_rate_card,price_child,text,YES,null
public,cruise_rate_card,price_infant,text,YES,null
public,cruise_rate_card,price_extra_bed,text,YES,null
public,cruise_rate_card,price_single,text,YES,null
public,cruise_rate_card,valid_year,text,YES,null
public,cruise_rate_card,valid_from,text,YES,null
public,cruise_rate_card,valid_to,text,YES,null
public,cruise_rate_card,display_order,text,YES,null
public,cruise_rate_card,currency,text,YES,null
public,cruise_rate_card,is_active,text,YES,null
public,cruise_rate_card,notes,text,YES,null
public,cruise_rate_card,created_at,text,YES,null
public,cruise_rate_card,updated_at,text,YES,null
public,cruise_rate_card,price_child_extra_bed,text,YES,null
public,cruise_rate_card,extra_bed_available,text,YES,null
public,cruise_rate_card,includes_vehicle,text,YES,null
public,cruise_rate_card,vehicle_type,text,YES,null
public,cruise_rate_card,infant_policy,text,YES,null
public,cruise_rate_card,season_name,text,YES,null
public,cruise_rate_card,is_promotion,text,YES,null
public,cruise_rate_card,price_child_older,text,YES,null
public,cruise_rate_card,child_age_range,text,YES,null
public,cruise_rate_card,single_available,text,YES,null
public,airport_price,id,text,YES,null
public,airport_price,airport_code,text,YES,null
public,airport_price,service_type,text,YES,null
public,airport_price,vehicle_type,text,YES,null
public,airport_price,vehicle_examples,text,YES,null
public,airport_price,recommended_capacity,text,YES,null
public,airport_price,max_capacity,text,YES,null
public,airport_price,route,text,YES,null
public,airport_price,route_from,text,YES,null
public,airport_price,route_to,text,YES,null
public,airport_price,duration,text,YES,null
public,airport_price,price,text,YES,null
public,airport_price,year,text,YES,null
public,airport_price,is_active,text,YES,null
public,airport_price,created_at,text,YES,null
public,airport_price,updated_at,text,YES,null
public,hotel_price,hotel_price_code,text,YES,null
public,hotel_price,hotel_code,text,YES,null
public,hotel_price,hotel_name,text,YES,null
public,hotel_price,room_type,text,YES,null
public,hotel_price,room_name,text,YES,null
public,hotel_price,room_category,text,YES,null
public,hotel_price,occupancy_max,text,YES,null
public,hotel_price,include_breakfast,text,YES,null
public,hotel_price,base_price,text,YES,null
public,hotel_price,extra_person_price,text,YES,null
public,hotel_price,child_policy,text,YES,null
public,hotel_price,season_name,text,YES,null
public,hotel_price,start_date,text,YES,null
public,hotel_price,end_date,text,YES,null
public,hotel_price,weekday_type,text,YES,null
public,hotel_price,notes,text,YES,null
public,hotel_price,created_at,text,YES,null
public,hotel_price,updated_at,text,YES,null
public,rentcar_price,id,text,YES,null
public,rentcar_price,rent_code,text,YES,null
public,rentcar_price,category,text,YES,null
public,rentcar_price,car_category_code,text,YES,null
public,rentcar_price,vehicle_type,text,YES,null
public,rentcar_price,route,text,YES,null
public,rentcar_price,route_from,text,YES,null
public,rentcar_price,route_to,text,YES,null
public,rentcar_price,way_type,text,YES,null
public,rentcar_price,price,text,YES,null
public,rentcar_price,capacity,text,YES,null
public,rentcar_price,duration_hours,text,YES,null
public,rentcar_price,rental_type,text,YES,null
public,rentcar_price,year,text,YES,null
public,rentcar_price,description,text,YES,null
public,rentcar_price,is_active,text,YES,null
public,rentcar_price,created_at,text,YES,null
public,rentcar_price,updated_at,text,YES,null
public,rentcar_price,cruise,text,YES,null
public,rentcar_price,memo,text,YES,null
public,tour_pricing,pricing_id,text,YES,null
public,tour_pricing,tour_id,text,YES,null
public,tour_pricing,min_guests,text,YES,null
public,tour_pricing,max_guests,text,YES,null
public,tour_pricing,price_per_person,text,YES,null
public,tour_pricing,vehicle_type,text,YES,null
public,tour_pricing,deposit_amount,text,YES,null
public,tour_pricing,deposit_rate,text,YES,null
